PATHWAY_URI	DISPLAY_NAME	DIRECT_SUB_PATHWAY_URIS	ALL_SUB_PATHWAY_URIS
http://pathwaycommons.org/pc12/Pathway_175de2da4cbfa47be6f3406fc5726028	histamine biosynthesis		
http://pathwaycommons.org/pc12/Pathway_7a4f214e6bba72f204df837074c15f29	cholesterol biosynthesis I		
http://pathwaycommons.org/pc12/Pathway_9720a44620588dd9cf9d138e705bcce4	D-myo-inositol (1,3,4)-trisphosphate biosynthesis		
http://pathwaycommons.org/pc12/Pathway_25cc562439e1a16cbfcf5e9f9f2bf99a	superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism		
http://pathwaycommons.org/pc12/Pathway_6fee541d89d2206f5998a26e2a0bf2a5	phenylalanine degradation I (aerobic)		
http://pathwaycommons.org/pc12/Pathway_585a29b83f0a5229568754134f83799d	aspartate biosynthesis		
http://pathwaycommons.org/pc12/Pathway_1cf6236b2044fbb3360bacf186b8bc21	glutamine degradation I		
http://pathwaycommons.org/pc12/Pathway_25ca302d170ee9eb7c0183074551039a	glutamate degradation X		
http://pathwaycommons.org/pc12/Pathway_d1161f988cd7be5b51aa18ac6c6229f4	3-phosphoinositide biosynthesis		
http://pathwaycommons.org/pc12/Pathway_ede257f647ad3238df543faa86289c94	glutamate dependent acid resistance		
http://pathwaycommons.org/pc12/Pathway_2eb1a6c28230796292c991c1690297ed	coenzyme A biosynthesis		
http://pathwaycommons.org/pc12/Pathway_1e818a1d1f97651521ea8f9b106a09f0	N-acetylglucosamine degradation II		
http://pathwaycommons.org/pc12/Pathway_f77d594ac6f354429bbdd2700ba61487	glycine biosynthesis I		
http://pathwaycommons.org/pc12/Pathway_e7f91a4c8b5291d31ed9aff6aad74bad	2-oxobutanoate degradation I		
http://pathwaycommons.org/pc12/Pathway_2ed1301279f09eb41b609762dc4525dc	salvage pathways of pyrimidine ribonucleotides		
http://pathwaycommons.org/pc12/Pathway_bba720b285db0fd355563c4e6a1f1de6	4-hydroxyphenylpyruvate biosynthesis		
http://pathwaycommons.org/pc12/Pathway_10dc1e93aeb0c6d6270c371bfb5ee1ed	trehalose degradation II (trehalase)		
http://pathwaycommons.org/pc12/Pathway_7cf665e0f7b31340867c36b4cfa449d5	glutamate degradation II		
http://pathwaycommons.org/pc12/Pathway_fe74f12859aa247529ed511a75dbad8f	glycine degradation (creatine biosynthesis)		
http://pathwaycommons.org/pc12/Pathway_07dd993d62dbc2fc293b41df8e733a1d	glycogen degradation II		
http://pathwaycommons.org/pc12/Pathway_de47e9c866b7f1cd0035906b808c32ef	dTMP de novo biosynthesis		
http://pathwaycommons.org/pc12/Pathway_d281d90401b7b7b08f45d8dec45fb4d2	glycogen degradation III		
http://pathwaycommons.org/pc12/Pathway_9c457f7310d26fe229dc87f637510659	S-methyl-5'-thioadenosine degradation II		
http://pathwaycommons.org/pc12/Pathway_8a824df103b983a15fa192cf87d82d2e	all-trans-decaprenyl diphosphate biosynthesis		
http://pathwaycommons.org/pc12/Pathway_8cb827f1de6464bceb3666aea1609263	cardiolipin biosynthesis II		
http://pathwaycommons.org/pc12/Pathway_1352d35695c5a5b0a5c02abae6e44950	thiamin salvage III		
http://pathwaycommons.org/pc12/Pathway_a1a6545117567f733dddf68a1a30f36d	xanthine and xanthosine salvage		
http://pathwaycommons.org/pc12/Pathway_d80cf28c23086c80dc1d0133a2a75091	D-myo-inositol (1,4,5)-trisphosphate biosynthesis		
http://pathwaycommons.org/pc12/Pathway_897eee447a62e1d4669a07c6697a22f3	morphine biosynthesis		
http://pathwaycommons.org/pc12/Pathway_e9bed1ebed70cc50e4425c090c756bfd	pyruvate fermentation to lactate		
http://pathwaycommons.org/pc12/Pathway_c71b8d10003628c90898bea6efbf8f35	epoxysqualene biosynthesis		
http://pathwaycommons.org/pc12/Pathway_82f8d3d7b2ef57d8f1a9562d2644c55c	thyroid hormone biosynthesis		
http://pathwaycommons.org/pc12/Pathway_209ea075c3883afe14a1f8fde7a70169	tyrosine biosynthesis IV		
http://pathwaycommons.org/pc12/Pathway_68b4d964522a099cf8079c2bbb58069b	phosphatidylglycerol biosynthesis II (non-plastidic)		
http://pathwaycommons.org/pc12/Pathway_224c872521124d549a0bf634c4f4972c	stearate biosynthesis I (animals)		
http://pathwaycommons.org/pc12/Pathway_d30a469547a3f515e7da0e3fa5c916d2	sulfate activation for sulfonation		
http://pathwaycommons.org/pc12/Pathway_0f40c2798afbb61326066db669bd66df	myo-inositol biosynthesis		
http://pathwaycommons.org/pc12/Pathway_a5bfac6c8e93c22e4e9ea7b69c451dcc	glycerol-3-phosphate shuttle		
http://pathwaycommons.org/pc12/Pathway_4bdb49de21f86ea3ea0b1731dc47ad17	D-myo-inositol-5-phosphate metabolism		
http://pathwaycommons.org/pc12/Pathway_be305c8060fb606edf087d1fe7d995ef	superpathway of serine and glycine biosynthesis I		
http://pathwaycommons.org/pc12/Pathway_08f72de3e07a5576ec6130c64675c89d	ethanol degradation II		
http://pathwaycommons.org/pc12/Pathway_e07cca414ab0ffd36f5051efca1de561	putrescine degradation III		
http://pathwaycommons.org/pc12/Pathway_8c8a726ecf700b1e5c8b23940fdb5006	glutathione redox reactions I		
http://pathwaycommons.org/pc12/Pathway_5fb8e9adf6c09117af721306d6e61143	proline biosynthesis II (from arginine)		
http://pathwaycommons.org/pc12/Pathway_6a2d3a9d376d174e16ee9eeec25ca5f0	salvage pathways of pyrimidine deoxyribonucleotides		
http://pathwaycommons.org/pc12/Pathway_578bb78616223cb9695baf809c51b106	D-glucuronate degradation I		
http://pathwaycommons.org/pc12/Pathway_c3101236f90a3c530150c0046ddb1f12	taurine biosynthesis		
http://pathwaycommons.org/pc12/Pathway_59060df222f6053e54f9044f802b0728	acyl-CoA hydrolysis		
http://pathwaycommons.org/pc12/Pathway_252051263bf92db8f2b8d28bb75cfb88	NAD biosynthesis III		
http://pathwaycommons.org/pc12/Pathway_0861307651b66687a8728a84052e9c3e	formaldehyde oxidation II (glutathione-dependent)		
http://pathwaycommons.org/pc12/Pathway_523f38f451fb7c2cad7107a9a7d8dee3	trans, trans-farnesyl diphosphate biosynthesis		
http://pathwaycommons.org/pc12/Pathway_664c6fb22a99cd87aba31a65cca3fc9e	urea cycle		
http://pathwaycommons.org/pc12/Pathway_f4921a242cad51d19065d5121560a93c	geranylgeranyldiphosphate biosynthesis		
http://pathwaycommons.org/pc12/Pathway_577b3dcdda1eabe036e92e62865ebb8b	citrulline-nitric oxide cycle		
http://pathwaycommons.org/pc12/Pathway_2d65ba0d6e8eccf317eeb2d6b19d4cbe	glutamate degradation III (via 4-aminobutyrate)		
http://pathwaycommons.org/pc12/Pathway_f9ae5e43f406b9edb73534215f99d4f0	tRNA splicing		
http://pathwaycommons.org/pc12/Pathway_971b4865f15ae1acdb9342a90d2972f1	mevalonate pathway I		
http://pathwaycommons.org/pc12/Pathway_7c540a9dfc95d373ee6ff0ed637bbc51	adenine and adenosine salvage VI		
http://pathwaycommons.org/pc12/Pathway_2abd70e284f82c94cd85c0d9042ff75e	zymosterol biosynthesis		
http://pathwaycommons.org/pc12/Pathway_4305054095333f9546ff6ba7275bb27a	folate polyglutamylation		
http://pathwaycommons.org/pc12/Pathway_b13e8a76f64ea08ba0be39e0221eae6f	pyridoxal 5'-phosphate salvage pathway		
http://pathwaycommons.org/pc12/Pathway_258acd0053fa14b38bb076a8a4fa4768	proline biosynthesis I		
http://pathwaycommons.org/pc12/Pathway_7a42a87332427731829f56fd140c5e17	tetrahydrobiopterin biosynthesis I		
http://pathwaycommons.org/pc12/Pathway_fa4ddb5a1ef0d2eb7d2da601d4f3b6f4	sorbitol degradation I		
http://pathwaycommons.org/pc12/Pathway_5830030b9042336830e68db5671209d5	N-acetylglucosamine degradation I		
http://pathwaycommons.org/pc12/Pathway_75bb37812b9c5f6dfd356822a84b2469	phosphatidylcholine biosynthesis I		
http://pathwaycommons.org/pc12/Pathway_ad1e646d0db4dc299434ccc5a3b73a68	spermidine biosynthesis I		
http://pathwaycommons.org/pc12/Pathway_a7ce151af9fbc5f81f0357e8a48c4bf1	glutamate removal from folates		
http://pathwaycommons.org/pc12/Pathway_e698b2fdac874a6e68eb22b1d96ce06f	3-phosphoinositide degradation		
http://pathwaycommons.org/pc12/Pathway_261e757815807af872dbd0171fbd6507	adenosine nucleotides degradation II		
http://pathwaycommons.org/pc12/Pathway_13d21433a364703180dd6828a8dc0c89	flavin biosynthesis IV (mammalian)		
http://pathwaycommons.org/pc12/Pathway_3c8fddaba9fc6783c43bb04a282e7c51	molybdenum cofactor biosynthesis		
http://pathwaycommons.org/pc12/Pathway_928a2305e85fb6bfbb953c407fd279f6	ketolysis		
http://pathwaycommons.org/pc12/Pathway_7dfc115113bdda3ebc452f866ee82ee6	L-dopa degradation		
http://pathwaycommons.org/pc12/Pathway_8275c24071fa5879d99c9361cc7a9c96	mitochondrial L-carnitine shuttle pathway		
http://pathwaycommons.org/pc12/Pathway_105f58732a4ac44137ffdf526e188f21	S-adenosyl-L-methionine biosynthesis		
http://pathwaycommons.org/pc12/Pathway_acaa9490948488c098e107222e926d75	fatty acid biosynthesis initiation II		
http://pathwaycommons.org/pc12/Pathway_f8dbbeb1ad4fb5c4fc80419266bb9f55	(S)-reticuline biosynthesis II		
http://pathwaycommons.org/pc12/Pathway_af0c7c9e543d223007a3f543b0c2d660	BMP Signalling Pathway		
http://pathwaycommons.org/pc12/Pathway_02c786aa181832de24054b76a1ce8a2b	ketogenesis		
http://pathwaycommons.org/pc12/Pathway_f5786d0c41c228a9a87930d92a17079e	methylglyoxal degradation III		
http://pathwaycommons.org/pc12/Pathway_8a7972870d46040277193146bf1dd4cc	acetyl-CoA biosynthesis III (from citrate)		
http://pathwaycommons.org/pc12/Pathway_9c9dc534109623af026d56d04e4c31ea	aspartate degradation II		
http://pathwaycommons.org/pc12/Pathway_e929ca53a84f7d82a943709a072cac2a	dopamine degradation		
http://pathwaycommons.org/pc12/Pathway_8e5b9905bb99cfcf36e827d1836f6e36	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate		
http://pathwaycommons.org/pc12/Pathway_35384317e757e671139f1bc84f2d321d	colanic acid building blocks biosynthesis		
http://pathwaycommons.org/pc12/Pathway_12cd55f72ef825a39e86983e5ebe4be9	pyrimidine ribonucleotides de novo biosynthesis		
http://pathwaycommons.org/pc12/Pathway_e67b79600136fe6eef8a107a8cc259cf	tryptophan degradation X (mammalian, via tryptamine)		
http://pathwaycommons.org/pc12/Pathway_088cc091170471577ffb6fe1f09f71cf	dermatan sulfate degradation (metazoa)		
http://pathwaycommons.org/pc12/Pathway_af377e11eb6562da1b1a4bff3c9d2524	fatty acid alpha-oxidation II		
http://pathwaycommons.org/pc12/Pathway_f8d20613017be82f9fb6f1355e2d84b6	L-carnitine biosynthesis		
http://pathwaycommons.org/pc12/Pathway_875daf257ab21dd543e15f2f033d225c	adenine and adenosine salvage I		
http://pathwaycommons.org/pc12/Pathway_fe1d35a7d1b06931802eab32fa688241	GDP-L-fucose biosynthesis II (from L-fucose)		
http://pathwaycommons.org/pc12/Pathway_d735fef9a27cc54ad9c49130bb536cf8	GDP-mannose biosynthesis		
http://pathwaycommons.org/pc12/Pathway_2b305642da7f6da0eb408ef4d3db5635	putrescine biosynthesis III		
http://pathwaycommons.org/pc12/Pathway_447b8b17aae53c9beae5471462708510	tryptophan degradation III (eukaryotic)		
http://pathwaycommons.org/pc12/Pathway_d8b9b12b90689f44dc15c3e5bde8ba47	glutamine biosynthesis I		
http://pathwaycommons.org/pc12/Pathway_213a77a417040837374510de6427e302	heme biosynthesis II		
http://pathwaycommons.org/pc12/Pathway_608f92d5b0ac230366f7f632d4c6a557	androgen biosynthesis		
http://pathwaycommons.org/pc12/Pathway_c29c1e159b68aa045c8dbcc7c4d97a05	phospholipases		
http://pathwaycommons.org/pc12/Pathway_0b1e056c94a422208bf0e4974f5762c0	pentose phosphate pathway (non-oxidative branch)		
http://pathwaycommons.org/pc12/Pathway_0e5ca64ffe1e590e3fd07e45a63f3f66	D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis		
http://pathwaycommons.org/pc12/Pathway_b7273aadb3ed6964cc6a7ed0fb31b3d5	NAD phosphorylation and dephosphorylation		
http://pathwaycommons.org/pc12/Pathway_1f4396187ae471b23baa6483d60a73ef	noradrenaline and adrenaline degradation		
http://pathwaycommons.org/pc12/Pathway_5ac465ecdde2e81eb0eb24bcb149a660	S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation		
http://pathwaycommons.org/pc12/Pathway_b1ddc18b646866adf7569b333ab8215a	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)		
http://pathwaycommons.org/pc12/Pathway_2bdb599dfbc86521beca81a5b812e75d	oxidized GTP and dGTP detoxification		
http://pathwaycommons.org/pc12/Pathway_c9f33f81c94942d050151b5702727e97	spermine biosynthesis		
http://pathwaycommons.org/pc12/Pathway_44c36d4d30135edbfb9f4c7eac3e3225	pentose phosphate pathway (oxidative branch)		
http://pathwaycommons.org/pc12/Pathway_92b66cb0aa0382982f2467d1c02c08ac	glycine biosynthesis III		
http://pathwaycommons.org/pc12/Pathway_067a99f06c030881fd36ef916f32bac6	arginine biosynthesis IV		
http://pathwaycommons.org/pc12/Pathway_b8c5a5229675865b636e9b46e1c7e295	calcium transport I		
http://pathwaycommons.org/pc12/Pathway_23e050e16f6768140c7a668d07db4db0	4-hydroxybenzoate biosynthesis		
http://pathwaycommons.org/pc12/Pathway_0d4059a90168f4194186285431fd649e	phosphatidylethanolamine biosynthesis III		
http://pathwaycommons.org/pc12/Pathway_9d6e9e9f1cef76a7b1496a65ae9bf665	glutathione-mediated detoxification I		
http://pathwaycommons.org/pc12/Pathway_bad78d4957b6c1e0808e47d04b4c0762	protein citrullination		
http://pathwaycommons.org/pc12/Pathway_265ef27588300e435b2f579bd0b49a93	dermatan sulfate biosynthesis (late stages)		
http://pathwaycommons.org/pc12/Pathway_1a2112026a92b61f67421a16b02633b9	guanosine nucleotides degradation III		
http://pathwaycommons.org/pc12/Pathway_01ff9d4e766a220a5edab38361e5a587	cysteine biosynthesis/homocysteine degradation		
http://pathwaycommons.org/pc12/Pathway_042d6cd9ded75f9bb9888508442e945c	purine ribonucleosides degradation to ribose-1-phosphate		
http://pathwaycommons.org/pc12/Pathway_ef09e61fe65d65cf277f7c908d185672	pentose phosphate pathway		
http://pathwaycommons.org/pc12/Pathway_df9553611a7ff05bb47de262fd0018da	asparagine degradation I		
http://pathwaycommons.org/pc12/Pathway_9351324adca7123a13038b4c57cc370d	sphingosine and sphingosine-1-phosphate metabolism		
http://pathwaycommons.org/pc12/Pathway_f00770315e1efd12f8db87fcb4ef502d	D-myo-inositol (1,4,5,6)-tetrakisphosphate biosynthesis		
http://pathwaycommons.org/pc12/Pathway_b7d2ae324727f15b5a7685374bbf3773	thio-molybdenum cofactor biosynthesis		
http://pathwaycommons.org/pc12/Pathway_6db11fd63857329ea3087cf3e6e93436	cholesterol biosynthesis III (via desmosterol)		
http://pathwaycommons.org/pc12/Pathway_bc8d1cf98d8361249760b630c4491098	CDP-diacylglycerol biosynthesis I		
http://pathwaycommons.org/pc12/Pathway_433e3ef2135043b2eeb63c2f31ae2905	NAD salvage pathway III		
http://pathwaycommons.org/pc12/Pathway_3580b307e8fd8c51765e9623be0a7f3e	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde		
http://pathwaycommons.org/pc12/Pathway_28bba1a19dbcedffec0e94d0a1fd14c8	Rapoport-Luebering glycolytic shunt		
http://pathwaycommons.org/pc12/Pathway_4864d255c6c6b2c873f100c974e071a0	histamine degradation		
http://pathwaycommons.org/pc12/Pathway_d898427c72d6da84a9b98ec07fcad1a4	guanine and guanosine salvage I		
http://pathwaycommons.org/pc12/Pathway_436e8b2fd0194abbd45921b0b15bebdd	oleate biosynthesis II (animals)		
http://pathwaycommons.org/pc12/Pathway_4b20404fbc41a1db94956bb3a54690a5	diphthamide biosynthesis		
http://pathwaycommons.org/pc12/Pathway_314773ca6849852102afa67e6af782d5	superpathway of inositol phosphate compounds		
http://pathwaycommons.org/pc12/Pathway_291b63e6f901424839074dc1726cd86c	1D-myo-inositol hexakisphosphate biosynthesis II (mammalian)		
http://pathwaycommons.org/pc12/Pathway_75e235810c8b7fa1648b839571b52c7e	GDP-L-fucose biosynthesis I (from GDP-D-mannose)		
http://pathwaycommons.org/pc12/Pathway_b48b5d4dacac3b7ff72224dbdf2898c9	triacylglycerol degradation		
http://pathwaycommons.org/pc12/Pathway_65dcb215944e40802ccd7fe611d05319	tetrapyrrole biosynthesis II		
http://pathwaycommons.org/pc12/Pathway_265c07c99958edaab4aea102ceebac11	tetrahydrobiopterin biosynthesis II		
http://pathwaycommons.org/pc12/Pathway_9daac3098539c24d88d7f5f536b104a0	thymine degradation		
http://pathwaycommons.org/pc12/Pathway_bf7b33b93580fb85636964b76845f1ca	triacylglycerol biosynthesis		
http://pathwaycommons.org/pc12/Pathway_aa2de6a3c51a4fe7808710883e5a8e64	glucose and glucose-1-phosphate degradation		
http://pathwaycommons.org/pc12/Pathway_c23f8fa77d0db568de6a2e1aefae45da	1,25-dihydroxyvitamin D3 biosynthesis		
http://pathwaycommons.org/pc12/Pathway_d969f9db09338c6c7e2be289aaa0bc15	ceramide biosynthesis		
http://pathwaycommons.org/pc12/Pathway_ef10ec99c5529f8dfcf891b1f2b872a9	MAP kinase cascade		
http://pathwaycommons.org/pc12/Pathway_19e72a199ffd76eeb6051c6e1a115d88	galactose degradation I (Leloir pathway)		
http://pathwaycommons.org/pc12/Pathway_20f7e437d0b001b54495b226c32e83f9	purine nucleotides degradation II (aerobic)		
http://pathwaycommons.org/pc12/Pathway_4888edf67b4e4c6f750ac7c193b4ddd3	arginine degradation I (arginase pathway)		
http://pathwaycommons.org/pc12/Pathway_c55430aa4d915ce878926999f965de3f	fatty acid beta-oxidation III (unsaturated, odd number)		
http://pathwaycommons.org/pc12/Pathway_ba308f1df69bc8dbb2229053514e9953	PRPP biosynthesis I		
http://pathwaycommons.org/pc12/Pathway_88bd010b4d87303ea4f386f4fc1d2ac1	D-mannose degradation		
http://pathwaycommons.org/pc12/Pathway_6e19da5d4d3d26a7134e554ae3fd12ed	fatty acid alpha-oxidation III		
http://pathwaycommons.org/pc12/Pathway_b5da1765891758d346c1879b95bae4d8	heme biosynthesis from uroporphyrinogen-III I		
http://pathwaycommons.org/pc12/Pathway_2f17e3b4d93e6b19107a92f99a4a887b	eumelanin biosynthesis		
http://pathwaycommons.org/pc12/Pathway_8830a6dcef3dcb821c6c1dc9dd5ac920	glycerol degradation I		
http://pathwaycommons.org/pc12/Pathway_d771f2de45bf67ca76fd84a401cdbfe6	L-dopachrome biosynthesis		
http://pathwaycommons.org/pc12/Pathway_c3c3f5ad343ba6bc6875ec1ae230b78f	GDP-glucose biosynthesis		
http://pathwaycommons.org/pc12/Pathway_b28b1d6aa76fb229a78dededd13df755	UDP-D-xylose and UDP-D-glucuronate biosynthesis		
http://pathwaycommons.org/pc12/Pathway_e884d3376cab2c94cf33c09d4851be6c	ceramide degradation		
http://pathwaycommons.org/pc12/Pathway_67a7a14df95e425324c4d685e7f96c18	superpathway of cholesterol biosynthesis		
http://pathwaycommons.org/pc12/Pathway_61a359a01101e7719b49c323a70e69c9	lanosterol biosynthesis		
http://pathwaycommons.org/pc12/Pathway_d4a0e635f684dc09c42e8b4b401f6bb3	tRNA charging		
http://pathwaycommons.org/pc12/Pathway_dbb1a942dd49d4a87bfdfab28ed8ea7b	NADH repair		
http://pathwaycommons.org/pc12/Pathway_4c7b337282046bd511e645f6d10dda80	citrulline degradation		
http://pathwaycommons.org/pc12/Pathway_a0f066a969573e06f5f298b7ec241ebc	selenocysteine biosynthesis II (archaea and eukaryotes)		
http://pathwaycommons.org/pc12/Pathway_fbf04f9b9224e6cdd16f80f7cbcbd9d2	glutaryl-CoA degradation		
http://pathwaycommons.org/pc12/Pathway_18289ad9b5dc6765bbc27422a7e9b165	threonine degradation II		
http://pathwaycommons.org/pc12/Pathway_6b2303b2ebd501236169c19dcdaa6c33	asparagine biosynthesis I		
http://pathwaycommons.org/pc12/Pathway_71e403ec98d7ad79b86f805750d323a2	glutamate biosynthesis II		
http://pathwaycommons.org/pc12/Pathway_7ec1da5c3aeb99905ce91706bc147e82	creatine-phosphate biosynthesis		
http://pathwaycommons.org/pc12/Pathway_bc4d2b2435e4a5925a86af155b9429f5	5-aminoimidazole ribonucleotide biosynthesis I		
http://pathwaycommons.org/pc12/Pathway_66f922d334311144f78ebb4444509a2c	oxidative ethanol degradation III		
http://pathwaycommons.org/pc12/Pathway_1fa0cf67410c570e7e6b9c45cd9cc1f6	1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)		
http://pathwaycommons.org/pc12/Pathway_05004b6396dce78922db2ddafaff44c3	catecholamine biosynthesis		
http://pathwaycommons.org/pc12/Pathway_99c0a9dd136c330bbe561e4c958ecf37	choline biosynthesis III		
http://pathwaycommons.org/pc12/Pathway_6988919c4f1e382bfaf77d9830efc472	leukotriene biosynthesis		
http://pathwaycommons.org/pc12/Pathway_cefd050c872924d01f2a34be76fcad7a	melatonin degradation III		
http://pathwaycommons.org/pc12/Pathway_3f043e34a74b38d004ac7ede9c864db0	4-aminobutyrate degradation I		
http://pathwaycommons.org/pc12/Pathway_c91bd877022325494bd6fbe798e649b6	ethanol degradation IV		
http://pathwaycommons.org/pc12/Pathway_d2b2180dc6abc48c7d8ccc392605fd22	UDP-N-acetyl-D-galactosamine biosynthesis II		
http://pathwaycommons.org/pc12/Pathway_544ec377aca862b3599cc805f0e0beee	methylthiopropionate biosynthesis		
http://pathwaycommons.org/pc12/Pathway_bd1fc317eac6f5ecd5157f684ff95208	NAD salvage pathway II		
http://pathwaycommons.org/pc12/Pathway_0337f2b53332a7972e4f90b1da3b040a	acyl carrier protein metabolism		
http://pathwaycommons.org/pc12/Pathway_fb76752ad229e6db3e664e2cebe91e32	methylmalonyl pathway		
http://pathwaycommons.org/pc12/Pathway_5c06c09f20bd4df8ca93c0891ba2b63d	L-cysteine degradation I		
http://pathwaycommons.org/pc12/Pathway_7ac6de17ac4e11e6001aa6a17f4c4650	purine nucleotides de novo biosynthesis II		
http://pathwaycommons.org/pc12/Pathway_8033d77e8fae9ebfc8d76bc00cfe0d8e	uridine-5'-phosphate biosynthesis		
http://pathwaycommons.org/pc12/Pathway_16704b3e96f1cd4951abddeccd0f0bb9	uracil degradation II (reductive)		
http://pathwaycommons.org/pc12/Pathway_317c99787f27f9210a3d451bf88cba71	thiosulfate disproportionation III (rhodanese)		
http://pathwaycommons.org/pc12/Pathway_db8c9e7a8ae9971bc5febc0778e18a20	sphingomyelin metabolism		
http://pathwaycommons.org/pc12/Pathway_0e43a814167a21390f48d82c826bb046	serotonin and melatonin biosynthesis		
http://pathwaycommons.org/pc12/Pathway_5d3a8467b589c154cd4e75223b146400	tyrosine degradation I		
