pathway,17-002,17-006,17-019,17-023,17-026,17-027,17-030,17-034,17-040,17-041,17-042,17-043,17-045,17-047,17-054,17-055,17-057,17-058,17-060,17-061
Drug metabolism - other enzymes,0.5269174389687336,0.31593500933494734,0.3861273159984689,0.4246585843104092,0.4364121646286089,0.4799044891134144,0.5625919519301954,0.5014177411748791,0.3723094413384635,0.4241078582299172,0.44617651424320554,0.47717998179258936,0.3283748076980808,0.3843877616410099,0.30935244158209413,0.4533091436929351,0.29225313002801473,0.3131988251143576,0.4443844909739523,0.3980289136925922
ECM-receptor interaction,0.2536076072472935,0.34235638549468894,0.258483644361379,0.33485313467811123,0.2949024215214047,0.32871427222133387,0.31449364194776586,0.2709736855514438,0.3207121542590945,0.25815326936269956,0.33736002050247393,0.30363110028738716,0.322081024611518,0.31242101154598406,0.29337566900041784,0.379386807719977,0.27510075268422696,0.28803036680789945,0.3221468370849532,0.34601075614497173
EGFR tyrosine kinase inhibitor resistance,0.5089479588654348,0.4946716034637388,0.4888591030173391,0.466932927615086,0.5382844311642532,0.48273002086393924,0.4124273141531328,0.4522146118022611,0.5118222457586615,0.4879400201596234,0.5590766946797366,0.5089222528527493,0.42766417970691056,0.3820984692204657,0.4927031245156001,0.4545937010315742,0.45279498802511087,0.4461912844836943,0.42233105838862905,0.4891552892198142
Endocrine resistance,0.3348336755153462,0.349019100105517,0.34613755941478014,0.34379782281193677,0.31836479361283637,0.3271800353472075,0.3277017794767142,0.34330068602412706,0.44934924343583793,0.3424392522121323,0.38323946711303475,0.30666508171143647,0.33663951657508984,0.2807209814853096,0.35359986020503253,0.37037239245339854,0.3840147663720719,0.2952390137053354,0.2822046793443024,0.3564572265400678
Endocytosis,0.3639398017634085,0.2702666670450587,0.3392299982662362,0.26111163983640007,0.2520594677984302,0.28416145045084396,0.2941180732658804,0.28022739701004623,0.34269063478044437,0.31639741895968954,0.3310542246299043,0.4024607812626158,0.30289083781125675,0.2527826115119147,0.38573261930085484,0.4394818367631094,0.3512453239328784,0.2505527416035673,0.3114337624764562,0.35663899738880694
Epithelial cell signaling in Helicobacter pylori infection,0.37345773973579105,0.3391967071643999,0.41166194880202595,0.3596501605071154,0.3430125301543095,0.330933071640286,0.34017212434667227,0.390360909198105,0.43528685111887505,0.3480893070361988,0.44144723016817516,0.4134019998322184,0.45376568436028997,0.3760204595423589,0.4492489667294847,0.47077019526939035,0.3853850742795449,0.25418766700967227,0.29341655010202095,0.41262331159497906
Fanconi anemia pathway,0.4363618043366663,0.35299122004100264,0.4810357489519132,0.5034236488569255,0.387838715329517,0.44457251816409776,0.45770495549073603,0.43530510585857907,0.38931773791235913,0.46149984328821997,0.39227269083286215,0.45355927208418856,0.43361312672397195,0.4401121397003562,0.41798175864335135,0.4306939965629887,0.4867650753741976,0.32162188096647115,0.4359650365192595,0.4332649431979704
Fat digestion and absorption,0.3578749487928533,0.2854882764366845,0.34500306846376744,0.2877928588834917,0.37228216062732034,0.29555456603328983,0.3903254417432337,0.34868057789042484,0.36199385153228525,0.35980292007136316,0.434185937729959,0.34545025596274015,0.3336805604989431,0.3234002169243777,0.3816832590356435,0.45464829846059873,0.3927310260397312,0.28405773414499835,0.3603230082232197,0.457757732785112
Fc epsilon RI signaling pathway,0.38970776492585846,0.24082302894277566,0.45455137131537665,0.38410226372194056,0.3400205667589009,0.3648285903300108,0.40207220524137266,0.3380616434383108,0.42960710279037906,0.325232033815866,0.4168964189361399,0.3838915728329672,0.30453264941440666,0.18388092553997673,0.3892195338179724,0.5001404474202611,0.2379140035330611,0.1565514858216092,0.18377243000380236,0.37420835255533175
Fluid shear stress and atherosclerosis,0.43253449783814113,0.37832246163013367,0.28148283161048854,0.3042986877088386,0.3843094433163281,0.25633183268060716,0.250539574947832,0.45361978233466366,0.5520312263128416,0.34748894101218286,0.33552298320647794,0.4253156093362643,0.45267673025719835,0.45716252224659587,0.4473474987080846,0.5132075405650366,0.34514095228607533,0.26867654957562603,0.3400515799560071,0.4239474957919924
FoxO signaling pathway,0.30285842915956407,0.2748668044624633,0.2500819853819352,0.2827401711595194,0.2726613939092129,0.270560685694513,0.24901491753245591,0.3030185388040215,0.32279183611552886,0.26355617681599997,0.2294164059616427,0.45362772477540303,0.3311777229412244,0.34260460414958316,0.3497776491576547,0.31797810946735,0.27672618313183234,0.25864011936665815,0.24260935665728095,0.33178169898564536
GABAergic synapse,0.27764905728932093,0.23191135094367377,0.26973952618347163,0.2633529948017293,0.23601897680120199,0.252258617812079,0.2364435879820314,0.27191885047456066,0.27855040113043045,0.2920784327414094,0.24325285623207685,0.3160947662598096,0.3082551569428697,0.3179725872677346,0.27881426780400864,0.2778985427486383,0.2747069469786203,0.2592462479466476,0.2412632566260556,0.3138560406344779
Gap junction,0.41250923676830575,0.3969461365540691,0.40476274974926,0.3199644658173137,0.36790771114384735,0.3554462909478706,0.3516632296258144,0.404132063149553,0.43795566076508363,0.3733556012132674,0.3853700976442362,0.399292521428104,0.3650803703618256,0.40238600204748237,0.4399930145145778,0.42908532785390036,0.4655542356164663,0.3655353780164546,0.3257606616627349,0.408387905000518
Gastric acid secretion,0.2516358872571845,0.23178635737733078,0.26526267446262436,0.23250917370501376,0.24133870298208296,0.23741624771392428,0.2591748387378113,0.24109123023177348,0.26036328237160994,0.25466343223811727,0.23867497992003486,0.2778952511810061,0.22229204468747002,0.24344427866540358,0.2858722453518834,0.22471784895490668,0.26602690013060787,0.24115890029212314,0.21946494081161128,0.25509316884951627
Glucagon signaling pathway,0.35647542323490056,0.3479219462947322,0.41663223025083107,0.3899075706048824,0.3758786938958415,0.38568132046174314,0.3661041621480374,0.37652867543855023,0.37757544873088195,0.3649792254022668,0.39723732044097754,0.35999049131097316,0.39826011777211084,0.39179565754746104,0.36336922224354123,0.3633005817697224,0.37847186821873813,0.37818938717740386,0.38119209361187867,0.42193943311387494
Graft-versus-host disease,0.5876140219639427,0.591180977835182,0.5858573796172285,0.5699645538494834,0.5864847650952276,0.48438524374129005,0.46313017838617027,0.5430539577503126,0.6420228976540964,0.5498273159347205,0.6574931197788274,0.5986272116386049,0.5369266870893292,0.5516607429577809,0.6088351619806989,0.5650311756180939,0.5277204315367224,0.5381764397474995,0.5838145281813658,0.5677127390423389
Hippo signaling pathway,0.34586154239711225,0.3735235851725963,0.39752201845617446,0.37660745010953844,0.34841003162787737,0.3366253336017273,0.37019801940116287,0.399130875680875,0.41228944507515064,0.37828671878362785,0.3452223733374029,0.397588407933844,0.39912039350539213,0.39071590988397237,0.3816547028483358,0.37600221267114353,0.35092068468716925,0.3317605400676561,0.3643405389844909,0.38394483680970376
Hippo signaling pathway - multiple species,0.4701510478601045,0.48629542678886756,0.5427896691237405,0.48035412647243686,0.48140478762745437,0.49281633630816035,0.48554950283871967,0.5511504613210872,0.5096699673121289,0.49182632220935746,0.49076949420054194,0.5201341618737553,0.5532860248775602,0.543215970727215,0.5005258000833748,0.4882733933403961,0.4769701308603611,0.4714965677160222,0.4958909170325706,0.5154682950917467
Homologous recombination,0.5168619039375,0.3966158770625,0.498292738125,0.36366128675000003,0.3893574320625,0.327997998375,0.37716177075,0.31655073206249995,0.40838583900000003,0.4518487875625,0.3499810505,0.4984323863125,0.5140793650625,0.5366515093124999,0.402774301,0.462619405375,0.5425579365,0.4011277873125,0.334542907625,0.44464572143750003
Hypertrophic cardiomyopathy,0.48936501910274444,0.5088776177729911,0.5567086795391784,0.5107077425666833,0.517413548573651,0.4467575362375129,0.46987097807936223,0.5121121296011524,0.5280340522656375,0.5073556244193901,0.4327129265025783,0.45859759177786036,0.4867679191431372,0.4925980637203897,0.5273144942029051,0.5287220792531796,0.5295682343791255,0.5140570633113997,0.46971198814953424,0.4824833426923594
IL-17 signaling pathway,0.3866042512868368,0.3524397141178315,0.1477253907223576,0.2897627605468301,0.3352645571114201,0.2594169797286545,0.2788615460258194,0.3091205143778208,0.5235484201780372,0.19007615465283026,0.3323040626987229,0.20052517755712737,0.2288659998782806,0.20944890996208512,0.4306136150387161,0.4673161123489659,0.48846460501819955,0.13351627485351783,0.270598649979912,0.45737048544309905
Inflammatory bowel disease,0.537097378431034,0.566921479271136,0.44266816825623584,0.390743006103724,0.41610543789313453,0.3851685905982841,0.5331732319184749,0.4093735648441182,0.5448815983882647,0.4951497609020165,0.4057420355339539,0.43919444612857755,0.4309846500611086,0.4633105618976668,0.5091681296021827,0.5155063400345797,0.6003837723395274,0.44700413378837717,0.48677744526295685,0.5886970704596474
Inflammatory mediator regulation of TRP channels,0.21303982555178252,0.18589308064466167,0.2284618041460078,0.1869722627811541,0.16542980012105554,0.19617706902688764,0.2123274673861622,0.20127236451432484,0.20653932976645537,0.20761775083194559,0.23892398471617665,0.21784670879819848,0.1769494777590407,0.16545265388015715,0.22238725686923216,0.23911298088092087,0.19870706587970904,0.16024203556159158,0.16978180173404495,0.2247381162586531
Insulin resistance,0.5104552577232802,0.574613006732232,0.47689029329714583,0.46586818169208627,0.481625881558138,0.4572787941115409,0.45758880066126595,0.4976049737337668,0.5575143158322596,0.5048911952889689,0.4812895942118617,0.48247095600329015,0.48656422864557763,0.4929718804369409,0.551150488399029,0.5291220044754045,0.4973431330494606,0.46851553723932143,0.48393164930747457,0.5641215202424914
Insulin secretion,0.35299036824795355,0.33311385614199895,0.3742230269421096,0.3389138148547224,0.34265498489815976,0.3694243863060736,0.3617907400942992,0.3612270316071647,0.35404389094567396,0.3462315351111962,0.376616968957201,0.3510455536788961,0.3407864334234832,0.3455794113668551,0.36261015349862147,0.3458840462397294,0.36488475952094185,0.3652771494865312,0.34637819651043955,0.3440808118548203
Insulin signaling pathway,0.4363248271207091,0.48326492720812564,0.41665062327289537,0.4232899542850345,0.45637465684034934,0.45302979804825144,0.42074505045829796,0.5000258684415875,0.5279818650458773,0.43351153882916815,0.41216149738990815,0.4473083533486005,0.45907324303178815,0.441390319886613,0.4861312395073681,0.4755740166580901,0.49993408255396704,0.4495965597403649,0.39939077110798127,0.4926096926330676
Intestinal immune network for IgA production,0.5752015963125106,0.31300032373530356,0.5426421991291136,0.44570240619534773,0.6054263493661957,0.5322912142835811,0.643709594912667,0.6273942456356962,0.4461704899991928,0.4301263155953175,0.5877260355172048,0.3947757710119862,0.36918155110579737,0.3694913924741291,0.38006788264955677,0.6273519195698364,0.305916031747416,0.27884424194540847,0.339115754591854,0.5049155272762939
Kaposi sarcoma-associated herpesvirus infection,0.34909371577558146,0.3053899340677049,0.46467262234613255,0.37626833869358456,0.41553959814894764,0.37554886019177625,0.34143112549296595,0.33000640016447425,0.4239267984608063,0.3473612706414648,0.3570904054536016,0.3388383418473739,0.39717081704189827,0.3345209953922139,0.3882635526918068,0.4503948932668509,0.3430010968672092,0.22661105536345072,0.26637304895128666,0.3648906455379964
Legionellosis,0.5204870454099805,0.3431265417964039,0.5720017026130316,0.6280859324525042,0.5069033947679127,0.3432262597772294,0.6035250196177223,0.7047982801079672,0.5495899483154129,0.4441636687605515,0.698708574306465,0.5259752686638322,0.43633318182701425,0.37020197847959174,0.401515678563086,0.7767673517159476,0.24003016767910382,0.19249119457588873,0.4138863270410302,0.5527920714732353
Leishmaniasis,0.4335496719380807,0.4201645368765756,0.38795057691612733,0.30742017715384173,0.39501260687617434,0.33307473840306606,0.44141619445611846,0.4480998568710782,0.4271185766357986,0.3461648640394112,0.3941179429598218,0.42689469571676514,0.3808114953972233,0.33921264160539333,0.41796494969803927,0.5056428921996662,0.4461387750665448,0.2835730778170203,0.4221161063324488,0.46624165038631804
Leukocyte transendothelial migration,0.4764041439334428,0.2909149328690151,0.3941188381823199,0.32720342449897866,0.3078235358074293,0.3246860409970875,0.4304128518484284,0.33638692387369756,0.43423262378629135,0.36917633878653067,0.40120073377935006,0.39768877864277347,0.3470181646674152,0.2729919274509114,0.3758556358034137,0.4968502585986845,0.33467056763736186,0.2766006196199026,0.30660776572327414,0.44218232508744826
Linoleic acid metabolism,0.5105522898818446,0.5345940249132717,0.5199034850385326,0.5676129491989178,0.5259848776441982,0.5313874352776287,0.528792090776004,0.5336316367760039,0.5186249343436451,0.5414235158330643,0.49379167557256004,0.5119708730863903,0.5048760259949064,0.538505874246202,0.506516542636446,0.4899270128637105,0.5075619110525763,0.5143629164566992,0.521160831157387,0.5038617303369796
Lipid and atherosclerosis,0.38857682186292697,0.4085517219218643,0.3450469239875327,0.37012757621442427,0.3374953606781663,0.2935852912663482,0.30607797413638366,0.4403967483419101,0.4844821072308384,0.348540977450199,0.3948022490973999,0.37094356033049486,0.31849311463959873,0.3261228938575881,0.4611882438536865,0.5457842865523008,0.43934419575838574,0.21466223948878832,0.3790202633517878,0.5137181348964829
Longevity regulating pathway,0.39299942661623927,0.40815196139438803,0.35029300790314327,0.3378603079132255,0.3518424743328862,0.3702621685455823,0.3859067154588342,0.4020157024097031,0.41234416443415056,0.32941373412893254,0.37189221208038215,0.37642390286543076,0.37999318482688416,0.3745857306662817,0.3930758005294089,0.42252065960916857,0.3867209940924768,0.33940472006073996,0.3912952192261681,0.426506959100087
Longevity regulating pathway - multiple species,0.38766348859579697,0.3795611948330097,0.35605423837153355,0.40862499983727246,0.3560678887704028,0.367970359531352,0.36011865368515655,0.4828080390447298,0.4772143889695223,0.38271046215190435,0.4558943711748145,0.4858048914209559,0.45647106022525674,0.42489116429812185,0.4388863307805927,0.4762067184353135,0.40751201562617634,0.37928568012182495,0.4206264728598827,0.4882079680051875
