,17-002,17-006,17-019,17-023,17-026,17-027,17-030,17-034,17-040,17-041,17-042,17-043,17-045,17-047,17-054,17-055,17-057,17-058,17-060,17-061
Apoptosis - multiple species,0.39086252450942993,0.4209418296813965,0.4194559156894684,0.41726845502853394,0.39476996660232544,0.3695269227027893,0.3955857753753662,0.3371325731277466,0.4739763140678406,0.35109424591064453,0.45835787057876587,0.4522062838077545,0.4306459426879883,0.4211207926273346,0.4943861961364746,0.48807424306869507,0.38184887170791626,0.2766926884651184,0.36457616090774536,0.5676054358482361
Arachidonic acid metabolism,0.4418875277042389,0.4329290986061096,0.3900039494037628,0.40741246938705444,0.42884042859077454,0.4125361442565918,0.39723700284957886,0.4035871922969818,0.4273110330104828,0.3943621516227722,0.44025421142578125,0.3853182792663574,0.3843855857849121,0.3862869143486023,0.3830735981464386,0.4706507623195648,0.3897840678691864,0.3576641082763672,0.4217472970485687,0.435416042804718
Arrhythmogenic right ventricular cardiomyopathy,0.569912850856781,0.45815175771713257,0.5340891480445862,0.6474118232727051,0.5554368495941162,0.41395577788352966,0.5503294467926025,0.59139084815979,0.5588710308074951,0.4782157242298126,0.4655528664588928,0.5447263121604919,0.440085232257843,0.5112496018409729,0.5024288296699524,0.5681492686271667,0.5349202156066895,0.5414481163024902,0.6283222436904907,0.5209672451019287
Asthma,0.7597084045410156,0.7941725850105286,0.9437410235404968,0.7766136527061462,0.7597084045410156,0.8954728245735168,0.9335424304008484,0.829896867275238,0.829896867275238,0.9437410235404968,0.7597084045410156,0.8474170565605164,0.9437410235404968,0.8474170565605164,0.9220952987670898,0.8120450377464294,0.9437410235404968,0.8474170565605164,0.8120450377464294,0.9437410235404968
Autoimmune thyroid disease,0.5613568425178528,0.5505136847496033,0.6949173808097839,0.5834991335868835,0.617273211479187,0.5703632831573486,0.6745380759239197,0.6642012000083923,0.7117857933044434,0.7035861611366272,0.6673775911331177,0.6540497541427612,0.6518594026565552,0.5536064505577087,0.7420662045478821,0.6945410966873169,0.6271959543228149,0.5322364568710327,0.567827045917511,0.6372371912002563
Autophagy - other,0.4347476065158844,0.2967241108417511,0.4735061824321747,0.46786734461784363,0.3892040252685547,0.5246705412864685,0.4442686140537262,0.42408400774002075,0.3835098147392273,0.49762365221977234,0.5509874224662781,0.4568316340446472,0.4896439015865326,0.4802647531032562,0.4198680520057678,0.4962971806526184,0.44177526235580444,0.4778502583503723,0.5281553268432617,0.48711705207824707
Axon guidance,0.47639164328575134,0.3832569122314453,0.44818195700645447,0.36731427907943726,0.34920379519462585,0.39543426036834717,0.4389984607696533,0.39058852195739746,0.47044646739959717,0.45338499546051025,0.406236857175827,0.4505890905857086,0.44126906991004944,0.3766384422779083,0.4210543632507324,0.49475982785224915,0.425479918718338,0.34705984592437744,0.35305893421173096,0.4416500926017761
Bacterial invasion of epithelial cells,0.5417916774749756,0.3946497440338135,0.47020071744918823,0.3933165967464447,0.3470417559146881,0.45235246419906616,0.4317951202392578,0.42448920011520386,0.49504706263542175,0.4725363552570343,0.5491266250610352,0.5213730335235596,0.4452778697013855,0.3844313621520996,0.480968713760376,0.5580103397369385,0.40442198514938354,0.35015133023262024,0.39956802129745483,0.50877845287323
Bile secretion,0.6360682845115662,0.5867114663124084,0.6666370630264282,0.6403235197067261,0.587006688117981,0.6223383545875549,0.6338194012641907,0.6058825254440308,0.6610067486763,0.6266211867332458,0.6774017214775085,0.615307092666626,0.5810425877571106,0.6077442169189453,0.6292078495025635,0.6074646711349487,0.6476075649261475,0.6099387407302856,0.5930321216583252,0.62263423204422
C-type lectin receptor signaling pathway,0.4747762084007263,0.42766839265823364,0.42107588052749634,0.4642348289489746,0.440438449382782,0.4264938533306122,0.4068432152271271,0.4926210641860962,0.4987797737121582,0.4073217511177063,0.478019118309021,0.39935335516929626,0.33798032999038696,0.31601041555404663,0.5649145841598511,0.6378927230834961,0.5031156539916992,0.2822897434234619,0.3638705015182495,0.5726280212402344
Carbohydrate digestion and absorption,0.5411854386329651,0.45305538177490234,0.5559049248695374,0.5160423517227173,0.5322731137275696,0.561069905757904,0.5276106595993042,0.6140182614326477,0.4679172933101654,0.49731969833374023,0.480415403842926,0.5710601210594177,0.5477327704429626,0.4690946042537689,0.4693566560745239,0.5115427374839783,0.51740962266922,0.49256038665771484,0.4783787131309509,0.5427582263946533
Cardiac muscle contraction,0.549225389957428,0.5848491191864014,0.574970543384552,0.6018285155296326,0.552890419960022,0.5434563755989075,0.5951719880104065,0.5785180926322937,0.5903719663619995,0.5505063533782959,0.5123669505119324,0.5270701050758362,0.5883381366729736,0.5381238460540771,0.5202857851982117,0.5827208757400513,0.5648298859596252,0.5619022250175476,0.5274478793144226,0.5590437650680542
Cell adhesion molecules,0.5996012687683105,0.48230987787246704,0.49884018301963806,0.5205898284912109,0.5405212640762329,0.5264328122138977,0.5698321461677551,0.5509167313575745,0.5523417592048645,0.5237485766410828,0.5154041647911072,0.5236538648605347,0.5462166666984558,0.46404385566711426,0.5492216944694519,0.6208658218383789,0.48716992139816284,0.5113701820373535,0.5483999252319336,0.5519958138465881
Cellular senescence,0.3724413514137268,0.35617512464523315,0.3746912479400635,0.29698216915130615,0.33187487721443176,0.3414651155471802,0.33131879568099976,0.4306400716304779,0.4285168945789337,0.40150460600852966,0.4149000346660614,0.4209531843662262,0.43155068159103394,0.37070587277412415,0.43484246730804443,0.42660102248191833,0.4396106004714966,0.3608788847923279,0.3378140926361084,0.4688633978366852
Central carbon metabolism in cancer,0.6172989010810852,0.6597939729690552,0.40403273701667786,0.44152742624282837,0.49746838212013245,0.40987908840179443,0.42046698927879333,0.3199632465839386,0.5712205767631531,0.5242526531219482,0.48210811614990234,0.3405216932296753,0.43752992153167725,0.5702337026596069,0.47960972785949707,0.42127448320388794,0.561743438243866,0.650122880935669,0.5605812668800354,0.5841279029846191
cGMP-PKG signaling pathway,0.4117104709148407,0.3710167109966278,0.40914884209632874,0.3769477307796478,0.40226471424102783,0.4213849604129791,0.37029293179512024,0.4496956467628479,0.4432407021522522,0.40023383498191833,0.43017077445983887,0.4162815511226654,0.36913374066352844,0.3877393305301666,0.4286053776741028,0.4616805911064148,0.41409915685653687,0.4359702467918396,0.4222926199436188,0.44891357421875
Chagas disease,0.4731225371360779,0.3833940327167511,0.34278279542922974,0.4236231744289398,0.3966701924800873,0.36010032892227173,0.36623597145080566,0.4247414469718933,0.5244240760803223,0.3958946168422699,0.453497052192688,0.3589668273925781,0.39905571937561035,0.4107733368873596,0.4170745015144348,0.42942681908607483,0.40567538142204285,0.20583981275558472,0.36387309432029724,0.47955945134162903
Choline metabolism in cancer,0.506714403629303,0.43862780928611755,0.5067702531814575,0.47024884819984436,0.4325965642929077,0.3863949775695801,0.39919522404670715,0.4338979423046112,0.5408442616462708,0.4500066339969635,0.4760703146457672,0.40467628836631775,0.37891116738319397,0.4226685166358948,0.47469937801361084,0.564060389995575,0.5028907656669617,0.3458607494831085,0.29804012179374695,0.5052024722099304
Cholinergic synapse,0.5277112126350403,0.5148988366127014,0.5500942468643188,0.5377702116966248,0.5254055261611938,0.5253927111625671,0.5456780195236206,0.5237321853637695,0.509864091873169,0.5091152787208557,0.5250281691551208,0.5192368626594543,0.5162470936775208,0.4838097095489502,0.5510002374649048,0.5592184662818909,0.5272427797317505,0.49816545844078064,0.5083329677581787,0.5493696331977844
Circadian entrainment,0.3013952970504761,0.3028007745742798,0.3135671615600586,0.32171425223350525,0.3707626760005951,0.32191944122314453,0.31302952766418457,0.26462918519973755,0.26932090520858765,0.26653730869293213,0.28852856159210205,0.2441255748271942,0.24965088069438934,0.24752505123615265,0.32502907514572144,0.28353574872016907,0.2431192547082901,0.28109660744667053,0.23440542817115784,0.2746613621711731
Cocaine addiction,0.5153226852416992,0.5485712289810181,0.540739119052887,0.5175366997718811,0.5555915832519531,0.557870626449585,0.5504118204116821,0.5364111065864563,0.6418519616127014,0.5536487102508545,0.655005693435669,0.5140653252601624,0.5417994260787964,0.5273013710975647,0.5531657338142395,0.5645288228988647,0.6032075881958008,0.5551586747169495,0.5144298076629639,0.5431582927703857
Collecting duct acid secretion,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cytokine-cytokine receptor interaction,0.5935925245285034,0.5820009708404541,0.4851926863193512,0.5688291192054749,0.5690036416053772,0.5678409934043884,0.5388199687004089,0.5111321210861206,0.5304967164993286,0.5012010931968689,0.5697610378265381,0.5094225406646729,0.4768892824649811,0.4959851801395416,0.5226431488990784,0.5447864532470703,0.5155267119407654,0.524010956287384,0.5154264569282532,0.5606557726860046
Diabetic cardiomyopathy,0.5864507555961609,0.582138180732727,0.6070040464401245,0.59579998254776,0.6004494428634644,0.6159992218017578,0.5870677828788757,0.656623899936676,0.595569908618927,0.5936795473098755,0.5765737295150757,0.624912440776825,0.6422371864318848,0.5465101003646851,0.5738901495933533,0.6377587914466858,0.6507405638694763,0.5223503112792969,0.5866783857345581,0.6700467467308044
Dilated cardiomyopathy,0.4810197353363037,0.48465490341186523,0.5614683032035828,0.4701842665672302,0.491076797246933,0.4645112454891205,0.4769954979419708,0.4765354096889496,0.4932439625263214,0.4695635139942169,0.4401075839996338,0.44833847880363464,0.4535820186138153,0.4863547384738922,0.5262362957000732,0.486003577709198,0.5426799654960632,0.5196699500083923,0.46454694867134094,0.4726245403289795
Drug metabolism - cytochrome P450,0.4749620258808136,0.5181494951248169,0.49319833517074585,0.5067156553268433,0.4959855079650879,0.4677792191505432,0.4355888366699219,0.5136619210243225,0.4450051486492157,0.47661927342414856,0.49878352880477905,0.44848278164863586,0.4287695586681366,0.5450960397720337,0.4344724416732788,0.4697849750518799,0.45132607221603394,0.48327207565307617,0.49021753668785095,0.4633371829986572
Drug metabolism - other enzymes,0.5269174575805664,0.31593501567840576,0.386127233505249,0.42465850710868835,0.43641212582588196,0.4799044132232666,0.5625919103622437,0.501417875289917,0.37230944633483887,0.4241079092025757,0.4461764991283417,0.47717997431755066,0.3283747136592865,0.38438764214515686,0.3093523383140564,0.453309029340744,0.29225313663482666,0.31319883465766907,0.44438436627388,0.39802876114845276
ECM-receptor interaction,0.253632128238678,0.3423602283000946,0.2585102319717407,0.3348548412322998,0.2949187755584717,0.3287259638309479,0.31453293561935425,0.27100929617881775,0.32075974345207214,0.2581568658351898,0.3373725116252899,0.3036424219608307,0.3221021592617035,0.3124231696128845,0.2933911681175232,0.3793993890285492,0.27512675523757935,0.2880374789237976,0.32216665148735046,0.34604209661483765
EGFR tyrosine kinase inhibitor resistance,0.5160865187644958,0.4787898361682892,0.49745163321495056,0.494737446308136,0.5474032163619995,0.4983952045440674,0.45323389768600464,0.4623439311981201,0.5195077061653137,0.4792477488517761,0.5859580636024475,0.5106033682823181,0.4381876587867737,0.3821394145488739,0.48499825596809387,0.47128012776374817,0.4690607786178589,0.447257936000824,0.42521098256111145,0.531124472618103
Endocrine resistance,0.44010308384895325,0.3820178806781769,0.44451770186424255,0.3986790180206299,0.41729238629341125,0.41016885638237,0.4383014440536499,0.4233251214027405,0.4831012785434723,0.46006420254707336,0.43337365984916687,0.45059701800346375,0.4734697937965393,0.3833877146244049,0.47260794043540955,0.47942233085632324,0.4837917387485504,0.40456071496009827,0.3639102876186371,0.4852384924888611
Endocytosis,0.447617769241333,0.3537028729915619,0.4234519898891449,0.345277339220047,0.335417240858078,0.36843371391296387,0.37782350182533264,0.363635390996933,0.4265829622745514,0.39982935786247253,0.41440239548683167,0.4861999750137329,0.3866825997829437,0.3361324965953827,0.4692732095718384,0.5233121514320374,0.43492400646209717,0.3338867425918579,0.39477524161338806,0.4412679374217987
Epithelial cell signaling in Helicobacter pylori infection,0.5012023448944092,0.346864253282547,0.4624246060848236,0.48211464285850525,0.4035988748073578,0.43423089385032654,0.4051528871059418,0.46092489361763,0.4971158504486084,0.39417386054992676,0.535118579864502,0.5058512687683105,0.4884521961212158,0.42878809571266174,0.5019596219062805,0.5123160481452942,0.46706530451774597,0.2782319486141205,0.3206036388874054,0.49719664454460144
Fanconi anemia pathway,0.4406105875968933,0.33449217677116394,0.47246691584587097,0.460584431886673,0.3452279269695282,0.40597712993621826,0.41895589232444763,0.44251537322998047,0.41421735286712646,0.48816001415252686,0.3502166271209717,0.4387798309326172,0.4198000729084015,0.4622794985771179,0.3884834051132202,0.398905485868454,0.5049526691436768,0.3469257056713104,0.443074107170105,0.44118356704711914
Fat digestion and absorption,0.5578749775886536,0.48548826575279236,0.5450030565261841,0.48779287934303284,0.5722821950912476,0.49555453658103943,0.5903254747390747,0.5486806035041809,0.5619938969612122,0.5598028898239136,0.6341859102249146,0.5454502701759338,0.5336805582046509,0.5234001874923706,0.5816832780838013,0.6546483039855957,0.5927309989929199,0.4840577244758606,0.5603229999542236,0.6577577590942383
Fc epsilon RI signaling pathway,0.5062234997749329,0.2718871831893921,0.5651114583015442,0.45076411962509155,0.40600940585136414,0.42374128103256226,0.49246731400489807,0.4218732416629791,0.5456581115722656,0.4303262233734131,0.4946465492248535,0.4835647940635681,0.3839338421821594,0.2450883388519287,0.4518609344959259,0.6001206636428833,0.30363786220550537,0.18848352134227753,0.23085972666740417,0.44511130452156067
Fluid shear stress and atherosclerosis,0.4706350266933441,0.39320722222328186,0.3317371606826782,0.3307923972606659,0.43496623635292053,0.3139680027961731,0.30461031198501587,0.5024816393852234,0.5832777619361877,0.39291515946388245,0.37139537930488586,0.4454261064529419,0.5024091601371765,0.4952085018157959,0.48599788546562195,0.5449842214584351,0.3656259775161743,0.2872563302516937,0.34927240014076233,0.456462025642395
FoxO signaling pathway,0.3165891170501709,0.27292320132255554,0.31005382537841797,0.2850114703178406,0.3039948046207428,0.2878545820713043,0.2978602647781372,0.32665055990219116,0.33671197295188904,0.3035223186016083,0.26248160004615784,0.4897014796733856,0.376411110162735,0.3610343337059021,0.40955671668052673,0.338962197303772,0.31491002440452576,0.28924888372421265,0.2570405602455139,0.36993271112442017
GABAergic synapse,0.33028900623321533,0.2845429480075836,0.322371244430542,0.3159845769405365,0.2886505722999573,0.30489036440849304,0.2890772521495819,0.32455042004585266,0.33118224143981934,0.344710111618042,0.2958844304084778,0.368727445602417,0.360886812210083,0.37060415744781494,0.3314459025859833,0.3305477201938629,0.32733848690986633,0.3118778169155121,0.29389488697052,0.36648958921432495
Gap junction,0.38928526639938354,0.39913538098335266,0.36026430130004883,0.35568690299987793,0.36534571647644043,0.31295129656791687,0.3381539583206177,0.39105311036109924,0.43462732434272766,0.2987070083618164,0.4213995635509491,0.39638108015060425,0.30021822452545166,0.31473201513290405,0.3875521719455719,0.4637874364852905,0.41357889771461487,0.29916226863861084,0.3056970238685608,0.43013978004455566
Gastric acid secretion,0.5895708203315735,0.5525003671646118,0.5868210792541504,0.5539060235023499,0.5621201992034912,0.5582743287086487,0.5906209349632263,0.5739322304725647,0.5890452861785889,0.5817918181419373,0.5974432229995728,0.6062638759613037,0.5559089183807373,0.5652697682380676,0.6090760231018066,0.5755699872970581,0.5967290997505188,0.5624881982803345,0.5576427578926086,0.5924756526947021
Glucagon signaling pathway,0.359188050031662,0.36133766174316406,0.4238114356994629,0.337676465511322,0.39039257168769836,0.4114736318588257,0.37263184785842896,0.3956789970397949,0.3853272795677185,0.3635730445384979,0.3664669096469879,0.3941103518009186,0.4123350977897644,0.4156898856163025,0.3825263977050781,0.36773985624313354,0.41344743967056274,0.402573823928833,0.3921620547771454,0.4123591482639313
Graft-versus-host disease,0.4059476852416992,0.34201356768608093,0.39910152554512024,0.3199646472930908,0.33649173378944397,0.23469185829162598,0.38903409242630005,0.2931704819202423,0.3920837342739105,0.30404797196388245,0.4623516798019409,0.34871628880500793,0.28821659088134766,0.302270770072937,0.3605993092060089,0.43093836307525635,0.31243905425071716,0.28819727897644043,0.33452630043029785,0.3282965123653412
Hippo signaling pathway - multiple species,0.4456527829170227,0.42224404215812683,0.4328043758869171,0.3715552091598511,0.359476238489151,0.41413623094558716,0.39280545711517334,0.35755351185798645,0.40994590520858765,0.32646676898002625,0.4222721755504608,0.39098304510116577,0.3939044177532196,0.31073078513145447,0.37354180216789246,0.3811599314212799,0.40125763416290283,0.3088156282901764,0.33694565296173096,0.42373859882354736
Hippo signaling pathway,0.24760746955871582,0.23852162063121796,0.22533896565437317,0.250693142414093,0.19916985929012299,0.20278134942054749,0.20132122933864594,0.25962188839912415,0.2790831923484802,0.23652729392051697,0.22751392424106598,0.2569636106491089,0.2641370892524719,0.23139481246471405,0.2394620180130005,0.2548181712627411,0.24356774985790253,0.19849416613578796,0.24733532965183258,0.25798338651657104
Homologous recombination,0.7091410160064697,0.5530752539634705,0.675884485244751,0.5412530899047852,0.6169518232345581,0.5202770829200745,0.604756236076355,0.5441452264785767,0.5859776139259338,0.6294406056404114,0.513145387172699,0.6760241985321045,0.7063584327697754,0.7142432928085327,0.5730369687080383,0.6402112245559692,0.7201496958732605,0.6287221908569336,0.5338733196258545,0.643976092338562
Hypertrophic cardiomyopathy,0.48936498165130615,0.5088775753974915,0.5567086338996887,0.5107077956199646,0.5174135565757751,0.4467575252056122,0.4698708951473236,0.5121121406555176,0.5280340313911438,0.5073556303977966,0.43271294236183167,0.4585976004600525,0.4867679178714752,0.4925980567932129,0.5273144841194153,0.5287221074104309,0.5295682549476624,0.5140570402145386,0.4697119891643524,0.4824833273887634
IL-17 signaling pathway,0.3853030800819397,0.3440461754798889,0.13395529985427856,0.28904837369918823,0.30431172251701355,0.24215345084667206,0.25909268856048584,0.30504757165908813,0.5426031947135925,0.18685469031333923,0.3318784236907959,0.20144475996494293,0.22073712944984436,0.20003454387187958,0.4499305188655853,0.4846886694431305,0.5064099431037903,0.12950126826763153,0.25505197048187256,0.4536978006362915
Inflammatory bowel disease,0.532909095287323,0.6179191470146179,0.438668817281723,0.4186018109321594,0.42403164505958557,0.34985846281051636,0.5180044174194336,0.36340558528900146,0.5468503832817078,0.517063558101654,0.3659765124320984,0.46568095684051514,0.455713152885437,0.49113520979881287,0.5049986243247986,0.5379604697227478,0.6038358211517334,0.3995204269886017,0.5030936598777771,0.5704896450042725
Inflammatory mediator regulation of TRP channels,0.6396733522415161,0.6013798713684082,0.6506657004356384,0.6008108854293823,0.5863374471664429,0.6174833178520203,0.633249819278717,0.6224710941314697,0.6225059628486633,0.6273741722106934,0.652413010597229,0.6402067542076111,0.6023721694946289,0.585493266582489,0.646490216255188,0.6556625962257385,0.622306227684021,0.5850807428359985,0.5907189249992371,0.6447617411613464
Insulin resistance,0.5252770781517029,0.48831120133399963,0.4572719931602478,0.49980032444000244,0.45710569620132446,0.4414876699447632,0.4081586003303528,0.5287196040153503,0.525097131729126,0.514955997467041,0.48878660798072815,0.49819785356521606,0.5340445637702942,0.4966656565666199,0.530137300491333,0.5616506934165955,0.5514836311340332,0.4958534836769104,0.46369239687919617,0.5839446187019348
Insulin secretion,0.5864887833595276,0.5561361908912659,0.6050361394882202,0.5567161440849304,0.5734289884567261,0.6045932769775391,0.5884965062141418,0.5972372889518738,0.5780002474784851,0.5644271969795227,0.5979781150817871,0.5758585929870605,0.5657633543014526,0.5769079923629761,0.5916823744773865,0.566126823425293,0.595416784286499,0.5992200970649719,0.5766622424125671,0.5632603764533997
Insulin signaling pathway,0.35761791467666626,0.3707137703895569,0.37593525648117065,0.3443376421928406,0.32355228066444397,0.3454226851463318,0.30936986207962036,0.38483524322509766,0.4616726040840149,0.3646903932094574,0.3651426434516907,0.3541746735572815,0.38468852639198303,0.3176634609699249,0.4238896369934082,0.46083420515060425,0.43121108412742615,0.38607215881347656,0.2983720004558563,0.43383243680000305
Intestinal immune network for IgA production,0.6747112274169922,0.3969309628009796,0.5983860492706299,0.5028132200241089,0.6927234530448914,0.5880351066589355,0.7025670409202576,0.7178030014038086,0.5456801056861877,0.5105146765708923,0.6512811779975891,0.4583308696746826,0.42803898453712463,0.4498797357082367,0.4795774519443512,0.7146489024162292,0.3723902404308319,0.3783537745475769,0.43477895855903625,0.6044250130653381
Kaposi sarcoma-associated herpesvirus infection,0.3873042166233063,0.31257471442222595,0.45173656940460205,0.40608781576156616,0.41723018884658813,0.40495485067367554,0.3294287621974945,0.3596506118774414,0.4459325969219208,0.36829641461372375,0.4024704396724701,0.3746562600135803,0.4066270589828491,0.35313189029693604,0.4071829617023468,0.48601335287094116,0.3908332884311676,0.23430176079273224,0.30021801590919495,0.41201817989349365
Legionellosis,0.5532762408256531,0.31599318981170654,0.5333071351051331,0.6475725769996643,0.485741525888443,0.34561631083488464,0.5670717358589172,0.694536566734314,0.5621232986450195,0.44137927889823914,0.7314977049827576,0.5475731492042542,0.4070909023284912,0.39179980754852295,0.40129780769348145,0.7512010931968689,0.27281931042671204,0.19227328896522522,0.4149763584136963,0.5855813026428223
Leishmaniasis,0.46766969561576843,0.3682337701320648,0.4174209535121918,0.39324620366096497,0.42872658371925354,0.38392174243927,0.4865231215953827,0.4395708739757538,0.42478296160697937,0.34605735540390015,0.4386325776576996,0.4131592810153961,0.38119813799858093,0.294038861989975,0.39704564213752747,0.49598655104637146,0.42236045002937317,0.25470930337905884,0.37113258242607117,0.48248815536499023
Leukocyte transendothelial migration,0.4895833134651184,0.2563778758049011,0.37624990940093994,0.3068365156650543,0.28674134612083435,0.30982011556625366,0.4114278554916382,0.31681445240974426,0.4089336395263672,0.35858696699142456,0.39487987756729126,0.4204239249229431,0.3523010313510895,0.27600589394569397,0.3689543604850769,0.4907541871070862,0.33459585905075073,0.25580263137817383,0.32597795128822327,0.45378217101097107
Linoleic acid metabolism,0.5105528831481934,0.5345956087112427,0.519903838634491,0.5676150918006897,0.5259858965873718,0.5313878655433655,0.528795599937439,0.5336317420005798,0.5186255574226379,0.5414239764213562,0.49379172921180725,0.5119708180427551,0.504876434803009,0.5385059118270874,0.5065165162086487,0.48992711305618286,0.5075622797012329,0.5143648386001587,0.5211608409881592,0.5038617253303528
Lipid and atherosclerosis,0.4433691203594208,0.44635263085365295,0.3435536324977875,0.3977772295475006,0.3538552522659302,0.3208032548427582,0.3419495224952698,0.4724535644054413,0.5353330969810486,0.39290890097618103,0.4465787708759308,0.3914196789264679,0.34381356835365295,0.35137563943862915,0.5093629360198975,0.5912331938743591,0.49986812472343445,0.24564583599567413,0.4298698306083679,0.5924854278564453
Longevity regulating pathway - multiple species,0.38961294293403625,0.3573570251464844,0.41082048416137695,0.39979398250579834,0.3479202091693878,0.36983177065849304,0.4043089747428894,0.5031877160072327,0.4849012494087219,0.4369637668132782,0.4723314046859741,0.4820708632469177,0.4839930236339569,0.4355829358100891,0.4478103518486023,0.49698638916015625,0.45871564745903015,0.40389320254325867,0.40496790409088135,0.5213647484779358
